productType,variantId,sku,prices,tax,categories,images,name.en,description.en,slug.en,metaTitle.en,metaDescription.en,metaKeywords.en,name.de,description.de,slug.de,metaTitle.de,metaDescription.de,metaKeywords.de,name.it,description.it,slug.it,metaTitle.it,metaDescription.it,metaKeywords.it,creationDate,articleNumberManufacturer,articleNumberMax,matrixId,baseId,designer,madeInItaly,completeTheLook,commonSize,size,color,colorFreeDefinition.en,details.en,colorFreeDefinition.de,details.de,colorFreeDefinition.it,details.it,style,gender,season,isOnStock,isLook,lookProducts,seasonNew
,11,M0E20000000E1B8,EUR 15000;EUR 9836 b2b;US-USD 15000;USD 9836 b2b;DE-EUR 12000;IT-EUR 12000;GB-EUR 12000;DE-EUR 12000#sunrise-store-berlin;EUR 14550#sunrise-store-vienna;DE-EUR 12000#sunrise-store-munich;DE-EUR 12000#sunrise-store-cologne;DE-EUR 12000#sunrise-store-hamburg;US-USD 12000#sunrise-store-boston-2;USD 14550#sunrise-store-chicago;US-USD 12000#sunrise-store-boston-1;US-USD 12000#sunrise-store-sanfrancisco;US-USD 12000#sunrise-store-newyork,,,https://www.ikea.com/us/en/images/products/pello-armchair-holmby-natural__38296_pe130209_s5.jpg?f=xxs,PELLO,Comfy seating throughout the home gives a relaxed feel � and with airy PELLO armchair you can easily create your comfort zones everywhere. The secrets are good back support and a slightly resilient frame!,,,,,PELLO,Comfy seating throughout the home gives a relaxed feel � and with airy PELLO armchair you can easily create your comfort zones everywhere. The secrets are good back support and a slightly resilient frame!,,,,,PELLO,Comfy seating throughout the home gives a relaxed feel � and with airy PELLO armchair you can easily create your comfort zones everywhere. The secrets are good back support and a slightly resilient frame!,,,,,,MT980 BB,79560,M0E20000000E1B8,79560,newbalance,no,,43.5,9.5,multicolored,multi,,multi,,,,sporty,men,s15,,,,
,12,M0E20000000E1B9,EUR 15000;EUR 9836 b2b;US-USD 15000;USD 9836 b2b;DE-EUR 12000;IT-EUR 12000;GB-EUR 12000;DE-EUR 12840#sunrise-store-berlin;EUR 14700#sunrise-store-vienna;DE-EUR 12720#sunrise-store-munich;DE-EUR 12120#sunrise-store-cologne;DE-EUR 12720#sunrise-store-hamburg;US-USD 12840#sunrise-store-boston-2;USD 14700#sunrise-store-chicago;US-USD 12720#sunrise-store-boston-1;US-USD 12120#sunrise-store-sanfrancisco;US-USD 12720#sunrise-store-newyork,,,https://www.ikea.com/us/en/images/products/fjaellbo-tv-unit-black__0473390_pe614545_s5.jpg?f=xxs,FJALLBO,"This rustic metal and solid wood TV bench has an open back, so it�s easy to arrange cords and cables.",,,,,FJALLBO,"This rustic metal and solid wood TV bench has an open back, so it�s easy to arrange cords and cables.",,,,,FJALLBO,"This rustic metal and solid wood TV bench has an open back, so it�s easy to arrange cords and cables.",,,,,,MT980 BB,79560,M0E20000000E1B9,79560,newbalance,no,,44,10,multicolored,multi,,multi,,,,sporty,men,s15,,,,
,13,M0E20000000E1BA,EUR 15000;EUR 9836 b2b;US-USD 15000;USD 9836 b2b;DE-EUR 12000;IT-EUR 12000;GB-EUR 12000;DE-EUR 11640#sunrise-store-berlin;EUR 16200#sunrise-store-vienna;DE-EUR 11520#sunrise-store-munich;DE-EUR 10920#sunrise-store-cologne;DE-EUR 11400#sunrise-store-hamburg;US-USD 11640#sunrise-store-boston-2;USD 16200#sunrise-store-chicago;US-USD 11520#sunrise-store-boston-1;US-USD 10920#sunrise-store-sanfrancisco;US-USD 11400#sunrise-store-newyork,,,https://www.ikea.com/us/en/images/products/eket-storage-combination-with-legs-white-wood__0915206_pe784648_s5.jpg?f=xxs,EKET,"With the EKET series you can build your storage big, small, colorful or discreet to either display or hide your things. And if your space and needs change, you can easily change your EKET solution too.",,,,,EKET,"With the EKET series you can build your storage big, small, colorful or discreet to either display or hide your things. And if your space and needs change, you can easily change your EKET solution too.",,,,,EKET,"With the EKET series you can build your storage big, small, colorful or discreet to either display or hide your things. And if your space and needs change, you can easily change your EKET solution too.",,,,,,MT980 BB,79560,M0E20000000E1BA,79560,newbalance,no,,44.5,10.5,multicolored,multi,,multi,,,,sporty,men,s15,,,,
,14,M0E20000000E1BB,EUR 15000;EUR 9836 b2b;US-USD 15000;USD 9836 b2b;DE-EUR 12000;IT-EUR 12000;GB-EUR 12000;DE-EUR 11760#sunrise-store-berlin;EUR 14100#sunrise-store-vienna;DE-EUR 12960#sunrise-store-munich;DE-EUR 11640#sunrise-store-cologne;DE-EUR 12840#sunrise-store-hamburg;US-USD 11760#sunrise-store-boston-2;USD 14100#sunrise-store-chicago;US-USD 12960#sunrise-store-boston-1;US-USD 11640#sunrise-store-sanfrancisco;US-USD 12840#sunrise-store-newyork,,,https://www.ikea.com/us/en/images/products/hemnes-8-drawer-dresser-dark-gray-stained__0519831_pe641793_s5.jpg?f=xxs,HEMNES,"Made of solid wood, which is a durable and warm natural material.",,,,,HEMNES,"Made of solid wood, which is a durable and warm natural material.",,,,,HEMNES,"Made of solid wood, which is a durable and warm natural material.",,,,,,MT980 BB,79560,M0E20000000E1BB,79560,newbalance,no,,45,11,multicolored,multi,,multi,,,,sporty,men,s15,TRUE,,,
,15,M0E20000000E1BC,EUR 15000;EUR 9836 b2b;US-USD 15000;USD 9836 b2b;DE-EUR 12000;IT-EUR 12000;GB-EUR 12000;DE-EUR 12480#sunrise-store-berlin;EUR 15750#sunrise-store-vienna;DE-EUR 11280#sunrise-store-munich;DE-EUR 13080#sunrise-store-cologne;DE-EUR 11160#sunrise-store-hamburg;US-USD 12480#sunrise-store-boston-2;USD 15750#sunrise-store-chicago;US-USD 11280#sunrise-store-boston-1;US-USD 13080#sunrise-store-sanfrancisco;US-USD 11160#sunrise-store-newyork,,,https://www.ikea.com/us/en/images/products/kallax-shelf-unit-with-4-inserts-white__0754627_pe747994_s5.jpg?f=xxs,KALLAX,Place this KALLAX combination either standing or horizontally as a sideboard depending on your space. Handy drawers and inserts hide things that tend to get cluttered and are nicely finished on both sides.,,,,,KALLAX,Place this KALLAX combination either standing or horizontally as a sideboard depending on your space. Handy drawers and inserts hide things that tend to get cluttered and are nicely finished on both sides.,,,,,KALLAX,Place this KALLAX combination either standing or horizontally as a sideboard depending on your space. Handy drawers and inserts hide things that tend to get cluttered and are nicely finished on both sides.,,,,,,MT980 BB,79560,M0E20000000E1BC,79560,newbalance,no,,45.5,11.5,multicolored,multi,,multi,,,,sporty,men,s15,,,,
,16,M0E20000000E1BD,EUR 15000;EUR 9836 b2b;US-USD 15000;USD 9836 b2b;DE-EUR 12000;IT-EUR 12000;GB-EUR 12000;DE-EUR 11400#sunrise-store-berlin;EUR 13650#sunrise-store-vienna;DE-EUR 11400#sunrise-store-munich;DE-EUR 11400#sunrise-store-cologne;DE-EUR 11280#sunrise-store-hamburg;US-USD 11400#sunrise-store-boston-2;USD 13650#sunrise-store-chicago;US-USD 11400#sunrise-store-boston-1;US-USD 11400#sunrise-store-sanfrancisco;US-USD 11280#sunrise-store-newyork,,,https://www.ikea.com/us/en/images/products/rashult-utility-cart-turquoise__0901370_pe782698_s5.jpg?f=xxs,RASHULT,"This cart is perfect for spices and kitchen utensils, small things by the desk or gloves, keys and cell phones in the hallway. Easy to move, fits almost anywhere and is available in several colors.",,,,,RASHULT,"This cart is perfect for spices and kitchen utensils, small things by the desk or gloves, keys and cell phones in the hallway. Easy to move, fits almost anywhere and is available in several colors.",,,,,RASHULT,"This cart is perfect for spices and kitchen utensils, small things by the desk or gloves, keys and cell phones in the hallway. Easy to move, fits almost anywhere and is available in several colors.",,,,,,MT980 BB,79560,M0E20000000E1BD,79560,newbalance,no,,46,12,multicolored,multi,,multi,,,,sporty,men,s15,,,,
,17,M0E20000000E1BE,EUR 15000;EUR 9836 b2b;US-USD 15000;USD 9836 b2b;DE-EUR 12000;IT-EUR 12000;GB-EUR 12000;DE-EUR 12240#sunrise-store-berlin;EUR 13800#sunrise-store-vienna;DE-EUR 12120#sunrise-store-munich;DE-EUR 11520#sunrise-store-cologne;DE-EUR 12120#sunrise-store-hamburg;US-USD 12240#sunrise-store-boston-2;USD 13800#sunrise-store-chicago;US-USD 12120#sunrise-store-boston-1;US-USD 11520#sunrise-store-sanfrancisco;US-USD 12120#sunrise-store-newyork,,,https://www.ikea.com/us/en/images/products/brommoe-chaise-outdoor-brown-stained__0729482_pe737001_s5.jpg?f=xxs,BROMMO,Easy to fold up and put away.,,,,,BROMMO,Easy to fold up and put away.,,,,,BROMMO,Easy to fold up and put away.,,,,,,MT980 BB,79560,M0E20000000E1BE,79560,newbalance,no,,46.5,12.5,multicolored,multi,,multi,,,,sporty,men,s15,,,,
,18,M0E20000000E1BF,EUR 15000;EUR 9836 b2b;US-USD 15000;USD 9836 b2b;DE-EUR 12000;IT-EUR 12000;GB-EUR 12000;DE-EUR 12360#sunrise-store-berlin;EUR 14850#sunrise-store-vienna;DE-EUR 11040#sunrise-store-munich;DE-EUR 12360#sunrise-store-cologne;DE-EUR 10920#sunrise-store-hamburg;US-USD 12360#sunrise-store-boston-2;USD 14850#sunrise-store-chicago;US-USD 11040#sunrise-store-boston-1;US-USD 12360#sunrise-store-sanfrancisco;US-USD 10920#sunrise-store-newyork,,,https://www.ikea.com/us/en/images/products/jokkmokk-bar-table-and-4-bar-stools-black-brown__0559262_pe661859_s5.jpg?f=xxs,JOKKMOKK,Solid pine; a natural material that ages beautifully.,,,,,JOKKMOKK,Solid pine; a natural material that ages beautifully.,,,,,JOKKMOKK,Solid pine; a natural material that ages beautifully.,,,,,,MT980 BB,79560,M0E20000000E1BF,79560,newbalance,no,,47,13,multicolored,multi,,multi,,,,sporty,men,s15,,,,
,19,M0E20000000E2Q5,EUR 10750;EUR 7049 b2b;US-USD 10750;USD 7049 b2b;DE-EUR 8600;IT-EUR 8600;GB-EUR 8600;DE-EUR 8772#sunrise-store-berlin;EUR 9782#sunrise-store-vienna;DE-EUR 9288#sunrise-store-munich;DE-EUR 9116#sunrise-store-cologne;DE-EUR 9202#sunrise-store-hamburg;US-USD 8772#sunrise-store-boston-2;USD 9782#sunrise-store-chicago;US-USD 9288#sunrise-store-boston-1;US-USD 9116#sunrise-store-sanfrancisco;US-USD 9202#sunrise-store-newyork,,,https://www.ikea.com/us/en/images/products/tommaryd-table-white__0898696_pe782590_s5.jpg?f=xxs,TOMMARYD,"This table suits both homes and businesses demanding everyday strength and durability. Easy to place in a kitchen, dining room, caf� or meeting room. The clean design combines well with many styles.",,,,,TOMMARYD,"This table suits both homes and businesses demanding everyday strength and durability. Easy to place in a kitchen, dining room, caf� or meeting room. The clean design combines well with many styles.",,,,,TOMMARYD,"This table suits both homes and businesses demanding everyday strength and durability. Easy to place in a kitchen, dining room, caf� or meeting room. The clean design combines well with many styles.",,,,,,A12KAA10 C8312 A3ZHJ,79897,M0E20000000E2Q5,79897,poloralphlauren,no,,xxs,XXS,green,green,,gr�n,,,,sporty,men,s15,,,,
,20,M0E20000000E2Q6,EUR 10750;EUR 7049 b2b;US-USD 10750;USD 7049 b2b;DE-EUR 8600;IT-EUR 8600;GB-EUR 8600;DE-EUR 7912#sunrise-store-berlin;EUR 10428#sunrise-store-vienna;DE-EUR 9460#sunrise-store-munich;DE-EUR 7912#sunrise-store-cologne;DE-EUR 9374#sunrise-store-hamburg;US-USD 7912#sunrise-store-boston-2;USD 10428#sunrise-store-chicago;US-USD 9460#sunrise-store-boston-1;US-USD 7912#sunrise-store-sanfrancisco;US-USD 9374#sunrise-store-newyork,,,https://www.ikea.com/us/en/images/products/hemnes-sideboard-white-stain__0625360_pe692214_s5.jpg?f=xxs,HEMNES,"Sustainable beauty from sustainably-sourced solid pine, a natural and renewable material that gets more beautiful with each passing year. Like it? Combine with other products in the HEMNES series.",,,,,HEMNES,"Sustainable beauty from sustainably-sourced solid pine, a natural and renewable material that gets more beautiful with each passing year. Like it? Combine with other products in the HEMNES series.",,,,,HEMNES,"Sustainable beauty from sustainably-sourced solid pine, a natural and renewable material that gets more beautiful with each passing year. Like it? Combine with other products in the HEMNES series.",,,,,,A12KAA10 C8312 A3ZHJ,79897,M0E20000000E2Q6,79897,poloralphlauren,no,,xs,XS,green,green,,gr�n,,,,sporty,men,s15,,,,
,21,M0E20000000E2Q7,EUR 10750;EUR 7049 b2b;US-USD 10750;USD 7049 b2b;DE-EUR 8600;IT-EUR 8600;GB-EUR 8600;DE-EUR 8514#sunrise-store-berlin;EUR 10642#sunrise-store-vienna;DE-EUR 8170#sunrise-store-munich;DE-EUR 7998#sunrise-store-cologne;DE-EUR 8084#sunrise-store-hamburg;US-USD 8514#sunrise-store-boston-2;USD 10642#sunrise-store-chicago;US-USD 8170#sunrise-store-boston-1;US-USD 7998#sunrise-store-sanfrancisco;US-USD 8084#sunrise-store-newyork,,,https://www.ikea.com/us/en/images/products/risoer-room-divider-white-black__0107404_pe257072_s5.jpg?f=xxs,RISOR,"This room divider lets you create a room within a room while still letting in light. A quick and easy way to create different spaces for eating and socializing, or a temporary bedroom for overnight guests.",,,,,RISOR,"This room divider lets you create a room within a room while still letting in light. A quick and easy way to create different spaces for eating and socializing, or a temporary bedroom for overnight guests.",,,,,RISOR,"This room divider lets you create a room within a room while still letting in light. A quick and easy way to create different spaces for eating and socializing, or a temporary bedroom for overnight guests.",,,,,,A12KAA10 C8312 A3ZHJ,79897,M0E20000000E2Q7,79897,poloralphlauren,no,,s,S,green,green,,gr�n,,,,sporty,men,s15,,,,
,22,M0E20000000E2Q8,EUR 10750;EUR 7049 b2b;US-USD 10750;USD 7049 b2b;DE-EUR 8600;IT-EUR 8600;GB-EUR 8600;DE-EUR 8600#sunrise-store-berlin;EUR 11288#sunrise-store-vienna;DE-EUR 9202#sunrise-store-munich;DE-EUR 8600#sunrise-store-cologne;DE-EUR 9116#sunrise-store-hamburg;US-USD 8600#sunrise-store-boston-2;USD 11288#sunrise-store-chicago;US-USD 9202#sunrise-store-boston-1;US-USD 8600#sunrise-store-sanfrancisco;US-USD 9116#sunrise-store-newyork,,,https://www.ikea.com/us/en/images/products/laett-childrens-table-and-2-chairs-white-pine__0735856_pe740220_s5.jpg?f=xxs,LATT,With this table and chairs you can easily create a durable arts and crafts corner for your child. The frames are made of solid pine and have a white foiled surface on top that is easy to wipe off.,,,,,LATT,With this table and chairs you can easily create a durable arts and crafts corner for your child. The frames are made of solid pine and have a white foiled surface on top that is easy to wipe off.,,,,,LATT,With this table and chairs you can easily create a durable arts and crafts corner for your child. The frames are made of solid pine and have a white foiled surface on top that is easy to wipe off.,,,,,,A12KAA10 C8312 A3ZHJ,79897,M0E20000000E2Q8,79897,poloralphlauren,no,,m,M,green,green,,gr�n,,,,sporty,men,s15,,,,
